"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Available
19;1;"Wkład filtra oleju KNECHT OX 171/16D";Filtry;https://media1mi.pl/p/1/132/158/photo-08140967-4688-4d39-ae58-d46176f9b143-150x150.jpg;82,93;1
20;1;"Filtr oleju KNECHT OX 72D";Filtry;https://media2mi.pl/p/2/340/172/photo-f68d260c-ebae-42c3-a121-3e78659be15d-150x150.jpg;70,01;1
21;1;"Filtr oleju KNECHT OX 121D";Filtry;https://media2mi.pl/p/2/456/142/photo-26f089f3-b507-475f-b11a-a0707abc54be-150x150.jpg;68,49;1
22;1;"Filtr oleju KNECHT OX 39D";Filtry;https://media2mi.pl/p/2/460/258/photo-765e2e81-3e03-4e3b-8b9a-4692298f7d97-150x150.jpg;70,33;1
23;1;"Filtr oleju KNECHT OC 52";Filtry;https://media1mi.pl/p/1/145/138/photo-4c6a0aa7-7825-4007-ba69-c2ebf475ddbe-150x150.jpg;32,76;1
24;1;"Filtr oleju KNECHT OC 278";Filtry;https://media1mi.pl/p/1/246/90/photo-984fc007-fe7c-4220-bf0c-a2b6606b90a9-150x150.jpg;35,20;1
25;1;"Filtr oleju KNECHT OC 65";Filtry;https://media1mi.pl/p/1/188/420/photo-66d15c55-f537-4489-b94d-5c138a269add-150x150.jpg;44,59;1
26;1;"Filtr oleju KNECHT OC 138";Filtry;https://media1mi.pl/p/1/33/68/photo-5025f2aa-f805-4bb6-8e85-7a60370c5aea-150x150.jpg;34,93;1
27;1;"Filtr oleju KNECHT OC 94";Filtry;https://media1mi.pl/p/1/4/296/photo-39e73166-cce0-47ca-98bc-4a00cdae5164-150x150.jpg;39,06;1
28;1;"Filtr oleju KNECHT OC 46";Filtry;https://media1mi.pl/p/1/39/163/photo-f6dcc41e-8ea8-4873-8f11-ec1a4b419695-150x150.jpg;77,50;1
29;1;"Filtr oleju KNECHT OX 151D";Filtry;https://media1mi.pl/p/1/94/36/photo-57d2eacf-fb30-4012-829b-54daa3afd0f6-150x150.jpg;62,73;1
30;1;"Filtr oleju KNECHT OX 554D1";Filtry;https://media2mi.pl/p/2/441/22/photo-c9931b60-8082-48e7-a30d-32a0bb6236bf-150x150.jpg;56,86;1
31;1;"Filtr oleju KNECHT OX 125";Filtry;https://media1mi.pl/p/1/12/348/photo-a46947ab-bbdc-4c5e-9767-697716589622-150x150.jpg;63,66;1
32;1;"Filtr oleju KNECHT OX 365/1D";Filtry;https://media1mi.pl/p/1/77/359/photo-d228f274-04a2-4549-942c-5aa20ba25703-150x150.jpg;79,90;1
33;1;"Filtr oleju KNECHT OC 982";Filtry;https://media1mi.pl/p/1/164/225/photo-04ceff5f-9801-4296-8c0a-be53d4412450-150x150.jpg;40,39;1
34;1;"Filtr oleju KNECHT OX 353/7D";Filtry;https://media2mi.pl/p/2/481/126/photo-9f0a8f5b-9bc5-463a-8c2d-73ff2c1056d5-150x150.jpg;67,73;1
35;1;"Filtr oleju KNECHT OC 617";Filtry;https://media1mi.pl/p/1/117/196/photo-4b4d87d3-706c-4239-9ce1-7278ce8e6e72-150x150.jpg;19,43;1
36;1;"Filtr oleju KNECHT OC 1051";Filtry;https://media1mi.pl/p/1/235/482/photo-eff024a3-5b3a-430e-b5b4-83c5e7cf8172-150x150.jpg;27,69;1
37;1;"Filtr oleju KNECHT OX 183/5D";Filtry;https://media1mi.pl/p/1/49/171/photo-1b49754d-7306-431c-b1e9-816165758317-150x150.jpg;56,23;1
38;1;"Filtr oleju KNECHT OX 345/7D";Filtry;https://media2mi.pl/p/2/458/174/photo-a7463ac6-c78b-42aa-9573-82d9825b957b-150x150.jpg;80,77;1
39;1;"Filtr oleju KNECHT OX 135/1D";Filtry;https://media2mi.pl/p/2/264/372/photo-2132906b-b780-4c92-96c6-0392bffeade2-150x150.jpg;25,88;1
40;1;"Filtr oleju KNECHT OC 23";Filtry;https://media1mi.pl/p/1/89/211/photo-5559a30c-1b8b-4a04-a571-daa0dcbb1ddb-150x150.jpg;24,98;1
41;1;"Filtr oleju KNECHT OC 469";Filtry;https://media1mi.pl/p/1/50/370/photo-98b680e5-5b74-4e0f-81b9-6acd07412f45-150x150.jpg;35,62;1
42;1;"Filtr oleju KNECHT OX 99";Filtry;https://media2mi.pl/p/2/299/257/photo-26a794cb-ce4b-4a31-b25e-d51641c97de1-150x150.jpg;64,03;1
43;1;"Filtr oleju KNECHT OC 54";Filtry;https://media1mi.pl/p/1/2/24/photo-5dee0d72-5b36-47bb-98ef-7b720b1cad04-150x150.jpg;50,32;1
44;1;"Filtr oleju KNECHT OC 503";Filtry;https://media2mi.pl/p/2/303/39/photo-c83a3c94-6b63-4396-95dc-4a36fd691fc1-150x150.jpg;44,79;1
45;1;"Filtr oleju KNECHT OX 366D";Filtry;https://media1mi.pl/p/1/98/81/photo-11478cf6-35e5-4eac-9a70-36babe75bf36-150x150.jpg;116,74;1
46;1;"Filtr oleju KNECHT OC 279";Filtry;https://media2mi.pl/p/2/296/421/photo-0bcfe377-7d43-40c6-a209-bba8c28909d3-150x150.jpg;54,60;1
47;1;"Filtr oleju KNECHT OC 292";Filtry;https://media1mi.pl/p/1/85/45/photo-eabc85b4-9008-4be1-a485-388baf2871a1-150x150.jpg;22,87;1
48;1;"Filtr oleju KNECHT OX 33D";Filtry;https://media2mi.pl/p/2/405/247/photo-a9dfeb68-c66f-41dd-8977-cded08739523-150x150.jpg;35,25;1
49;1;"Filtr oleju KNECHT OX 383D";Filtry;https://media1mi.pl/p/1/218/27/photo-22f61856-177d-41f5-81d8-4931617e20ea-150x150.jpg;55,11;1
50;1;"Filtr oleju KNECHT OC 238";Filtry;https://media2mi.pl/p/2/425/306/photo-69863442-dae3-4fd7-b6f7-dabe552cf3e9-150x150.jpg;52,61;1
51;1;"Filtr oleju KNECHT OC 239";Filtry;https://media2mi.pl/p/2/402/511/photo-7283c2cc-b0ba-49b0-91f7-15abe2649201-150x150.jpg;58,14;1
52;1;"Filtr oleju KNECHT OC 229";Filtry;https://media2mi.pl/p/2/359/277/photo-7fb57a5e-ea18-41f4-9c27-25bb44616cad-150x150.jpg;60,54;1
53;1;"Filtr oleju KNECHT OX 150D1";Filtry;https://media2mi.pl/p/2/270/504/photo-dbaab60a-88d2-48e8-844f-6231e3aa8faf-150x150.jpg;41,98;1
54;1;"Filtr oleju KNECHT OC 120";Filtry;https://media1mi.pl/p/1/128/175/photo-4cab8d96-aeae-4f5b-9cba-500950292c8f-150x150.jpg;28,74;1
55;1;"Filtr oleju KNECHT OC 139";Filtry;https://media2mi.pl/p/2/263/3/photo-6b31b35c-7aea-4a48-8c48-b57a06df7d72-150x150.jpg
56;1;"Filtr oleju KNECHT OC 326";Filtry;https://media2mi.pl/p/2/334/459/photo-2310c943-ed45-49bb-9b72-1d59e6417717-150x150.jpg;84,02;1
57;1;"Filtr oleju KNECHT OX 159D";Filtry;https://media2mi.pl/p/2/489/325/photo-27589734-239a-4899-ab4b-b3960005c07f-150x150.jpg;49,26;1
58;1;"Filtr oleju KNECHT OC 102";Filtry;https://media2mi.pl/p/2/347/304/photo-3953b094-34ba-4c4f-9cb7-94655f742cb2-150x150.jpg;33,53;1
59;1;"Wkład filtra oleju KNECHT OX 171/16D";Filtry;https://media1mi.pl/p/1/132/158/photo-08140967-4688-4d39-ae58-d46176f9b143-150x150.jpg;82,93;1
60;1;"Filtr oleju KNECHT OX 72D";Filtry;https://media2mi.pl/p/2/340/172/photo-f68d260c-ebae-42c3-a121-3e78659be15d-150x150.jpg;70,01;1
61;1;"Filtr oleju KNECHT OX 121D";Filtry;https://media2mi.pl/p/2/456/142/photo-26f089f3-b507-475f-b11a-a0707abc54be-150x150.jpg;68,49;1
62;1;"Filtr oleju KNECHT OX 39D";Filtry;https://media2mi.pl/p/2/460/258/photo-765e2e81-3e03-4e3b-8b9a-4692298f7d97-150x150.jpg;70,33;1
63;1;"Filtr oleju KNECHT OC 52";Filtry;https://media1mi.pl/p/1/145/138/photo-4c6a0aa7-7825-4007-ba69-c2ebf475ddbe-150x150.jpg;32,76;1
