"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Quantity
36;1;"Filtr oleju KNECHT OC 297";Filtry;https://media2mi.pl/p/2/396/70/photo-99fe9630-82a3-4f44-a00d-535de98a8cab-150x150.jpg;110,09;2
37;1;"Filtr oleju KNECHT OX 153D4";Filtry;https://media1mi.pl/p/1/215/123/photo-ebf83b90-22e7-4e85-8298-0d1fcf69ae70-150x150.jpg;36,88;3
38;1;"Filtr oleju KNECHT OC 140";Filtry;https://media1mi.pl/p/1/78/33/photo-4ce866e7-90d5-4294-89fb-533006545b3f-150x150.jpg;40,79;1
39;1;"Filtr oleju KNECHT OX 153D2";Filtry;https://media2mi.pl/p/2/265/500/photo-21ed74dc-db15-41c0-95f5-353f357711ef-150x150.jpg;41,90;3
40;1;"Filtr oleju KNECHT OC 11";Filtry;https://media1mi.pl/p/1/179/465/photo-89f1bfad-5650-413f-bca1-8008d90a106e-150x150.jpg;35,49;3
41;1;"Filtr oleju KNECHT OX 99";Filtry;https://media2mi.pl/p/2/299/257/photo-26a794cb-ce4b-4a31-b25e-d51641c97de1-150x150.jpg;64,03;1
42;1;"Filtr oleju KNECHT OC 46";Filtry;https://media1mi.pl/p/1/39/163/photo-f6dcc41e-8ea8-4873-8f11-ec1a4b419695-150x150.jpg;77,50;5
43;1;"Filtr oleju KNECHT OC 326";Filtry;https://media2mi.pl/p/2/334/459/photo-2310c943-ed45-49bb-9b72-1d59e6417717-150x150.jpg;84,02;2
44;1;"Filtr oleju KNECHT OC 94";Filtry;https://media1mi.pl/p/1/4/296/photo-39e73166-cce0-47ca-98bc-4a00cdae5164-150x150.jpg;39,06;2
45;1;"Filtr oleju KNECHT OC 503";Filtry;https://media2mi.pl/p/2/303/39/photo-c83a3c94-6b63-4396-95dc-4a36fd691fc1-150x150.jpg;44,79;1
46;1;"Filtr oleju KNECHT OC 278";Filtry;https://media1mi.pl/p/1/246/90/photo-984fc007-fe7c-4220-bf0c-a2b6606b90a9-150x150.jpg;35,20;5
47;1;"Filtr oleju KNECHT OC 238";Filtry;https://media2mi.pl/p/2/425/306/photo-69863442-dae3-4fd7-b6f7-dabe552cf3e9-150x150.jpg;52,61;2
48;1;"Filtr oleju KNECHT OX 383D";Filtry;https://media1mi.pl/p/1/218/27/photo-22f61856-177d-41f5-81d8-4931617e20ea-150x150.jpg;55,11;2
49;1;"Filtr oleju KNECHT OC 279";Filtry;https://media2mi.pl/p/2/296/421/photo-0bcfe377-7d43-40c6-a209-bba8c28909d3-150x150.jpg;54,60;5
50;1;"Filtr oleju KNECHT OC 229";Filtry;https://media2mi.pl/p/2/359/277/photo-7fb57a5e-ea18-41f4-9c27-25bb44616cad-150x150.jpg;60,54;2
51;1;"Filtr oleju KNECHT OC 138";Filtry;https://media1mi.pl/p/1/33/68/photo-5025f2aa-f805-4bb6-8e85-7a60370c5aea-150x150.jpg;34,93;3
52;1;"Filtr oleju KNECHT OX 121D";Filtry;https://media2mi.pl/p/2/456/142/photo-26f089f3-b507-475f-b11a-a0707abc54be-150x150.jpg;68,49;5
53;1;"Filtr oleju KNECHT OC 469";Filtry;https://media1mi.pl/p/1/50/370/photo-98b680e5-5b74-4e0f-81b9-6acd07412f45-150x150.jpg;35,62;2
54;1;"Filtr oleju KNECHT OX 39D";Filtry;https://media2mi.pl/p/2/460/258/photo-765e2e81-3e03-4e3b-8b9a-4692298f7d97-150x150.jpg;70,33;2
55;1;"Filtr oleju KNECHT OX 72D";Filtry;https://media2mi.pl/p/2/340/172/photo-f68d260c-ebae-42c3-a121-3e78659be15d-150x150.jpg;70,01;2
56;1;"Filtr oleju KNECHT OX 151D";Filtry;https://media1mi.pl/p/1/94/36/photo-57d2eacf-fb30-4012-829b-54daa3afd0f6-150x150.jpg;62,73;3
57;1;"Filtr oleju KNECHT OC 52";Filtry;https://media1mi.pl/p/1/145/138/photo-4c6a0aa7-7825-4007-ba69-c2ebf475ddbe-150x150.jpg;32,76;5
58;1;"Filtr oleju KNECHT OC 265";Filtry;https://media2mi.pl/p/2/393/192/photo-c6687d8e-f8a6-432f-9e23-faeb60a3c8a1-150x150.jpg;40,79;5
59;1;"Filtr oleju KNECHT OC 102";Filtry;https://media2mi.pl/p/2/347/304/photo-3953b094-34ba-4c4f-9cb7-94655f742cb2-150x150.jpg;33,53;5
60;1;"Filtr oleju KNECHT OX 554D1";Filtry;https://media2mi.pl/p/2/441/22/photo-c9931b60-8082-48e7-a30d-32a0bb6236bf-150x150.jpg;56,86;5
61;1;"Filtr oleju KNECHT OC 54";Filtry;https://media1mi.pl/p/1/2/24/photo-5dee0d72-5b36-47bb-98ef-7b720b1cad04-150x150.jpg;50,32;5
62;1;"Filtr oleju KNECHT OX 159D";Filtry;https://media2mi.pl/p/2/489/325/photo-27589734-239a-4899-ab4b-b3960005c07f-150x150.jpg;49,26;5
63;1;"Filtr oleju KNECHT OC 139";Filtry;https://media2mi.pl/p/2/263/3/photo-6b31b35c-7aea-4a48-8c48-b57a06df7d72-150x150.jpg
